planid,planname,planname (groups)
1567,TOSKADSIL,SILVER CUSTOMIZED
1568,PHILBANBRONZE,BRONZE CUSTOMIZED
1569,AMEC GOLD,GOLD CUSTOMISED
1570,FINA GOL,GOLD CUSTOMISED
1571,FINAFAM1GOL,GOLD CUSTOMISED
1572,FINAFAM3GOL,GOLD CUSTOMISED
1573,FINAFAM4GOL,GOLD CUSTOMISED
1574,FINAFAM5GOL,GOLD CUSTOMISED
1575,FINA SIL,SILVER CUSTOMIZED
1576,FINAFAM1SIL,SILVER CUSTOMIZED
1577,FINAFAM2SIL,SILVER CUSTOMIZED
1578,FINAFAM3SIL,SILVER CUSTOMIZED
1579,FINAFAM4SIL,SILVER CUSTOMIZED
1580,FINAFAM5SIL,SILVER CUSTOMIZED
1581, 7UP GOL,GOLD CUSTOMISED
1582,7UP GOL FAM 2,GOLD CUSTOMISED
1583,7UP GOL FAM 3,GOLD CUSTOMISED
1584,7UP GOL FAM 4,GOLD CUSTOMISED
1585,7UP GOL FAM 5,GOLD CUSTOMISED
1586,7UP GOL FAM 6,GOLD CUSTOMISED
1587,CLOUD BRONZE,BRONZE CUSTOMIZED
1588,KILO BRONZE,BRONZE CUSTOMIZED
1589,ELSA BRONZE,BRONZE CUSTOMIZED
1590,GOLF BRONZE,BRONZE CUSTOMIZED
1591,GOLF GOLD,GOLD CUSTOMISED
1592,SEC BRONZE,BRONZE CUSTOMIZED
1593,APN GOLD,GOLD CUSTOMISED
1594,APN BRONZE23,BRONZE CUSTOMIZED
1595,APN SILVER 23,SILVER CUSTOMIZED
1596,ROY GOLD,GOLD CUSTOMISED
1597, ELSA SILVER,SILVER CUSTOMIZED
1598,SOWSCO BRONZE,BRONZE CUSTOMIZED
1599,SOWSCO SILVER,SILVER CUSTOMIZED
1600,SOWSCO GOLD,GOLD CUSTOMISED
1601,DABS BRONZE,BRONZE CUSTOMIZED
1602,BEDMATE SUPERB,SUPERB CUSTOMIZED
1603,Platinum 23,PLATINUM
1604,Platinum Plus 23,Other
1605,PRAGRBRONZE,BRONZE CUSTOMIZED
1606,MALIBRONZE,BRONZE CUSTOMIZED
1607,KIZGOLPLUS,GOLD PLUS CUSTOMISED
1608,CLOUD SILVER,SILVER CUSTOMIZED
1609,MAINBRZFAM3,BRONZE CUSTOMIZED
1610,MAINBRZFAM2,BRONZE CUSTOMIZED
1611,CHRIS FILOP GOLD,GOLD CUSTOMISED
1612,CHRISFILOPGOLDFAM2,GOLD CUSTOMISED
1613,LOTUS PLATINUM,PLATINUM CUSTOMIZED
1614,REDEEM SIL23,SILVER CUSTOMIZED
1615,APN BRZN FAM 2,BRONZE CUSTOMIZED
1616,APN BRZN FAM 3,BRONZE CUSTOMIZED
1617,APN SILFAM 2,SILVER CUSTOMIZED
1618,APN SIL FAM 3,SILVER CUSTOMIZED
1619,APN GOL FAM2,GOLD CUSTOMISED
1620,APN GOL FAM3,GOLD CUSTOMISED
1621,WILSON GOLD,GOLD CUSTOMISED
1622,TGM PLATINIUM,PLATINUM CUSTOMIZED
1623,TGM SILVER,SILVER CUSTOMIZED
1624,HR SILVER,SILVER CUSTOMIZED
1625,SMBRONZE23,BRONZE CUSTOMIZED
1626,EMPSILFAM2,SILVER CUSTOMIZED
1627,EMPSILFAM3,SILVER CUSTOMIZED
1628,City Fam 6,Other
1629,VICBRONZE 23,BRONZE CUSTOMIZED
1630,TGM GOLPLUS 23,GOLD PLUS CUSTOMISED
1631,TGM GOL FAM,GOLD CUSTOMISED
1632,DIAMONDS,DIAMOND
1633,DBRONZE23,BRONZE CUSTOMIZED
1634,DSIVER23,SILVER CUSTOMIZED
1635,ESILVER23,SILVER CUSTOMIZED
